"temp","hum","AvgTemp","AvgHum","ExpgHum","ExpTemp"
23.12,74.32,23.12,74.32,74.32,23.12
23.14,74.27,23.12,74.32,74.28,23.13
23.14,74.31,23.12,74.32,74.3,23.14
23.14,74.3,23.12,74.32,74.3,23.14
23.16,74.3,23.12,74.32,74.3,23.16
23.19,74.21,23.13,74.32,74.23,23.19
23.16,74.14,23.13,74.31,74.16,23.17
23.15,73.97,23.13,74.31,74,23.15
23.22,74.06,23.13,74.29,74.05,23.21
23.18,74.13,23.13,74.29,74.11,23.18
23.23,74.1,23.13,74.3,74.1,23.22
23.15,73.88,23.13,74.3,73.92,23.16
23.16,73.72,23.13,74.28,73.76,23.16
23.14,73.72,23.13,74.27,73.73,23.14
23.22,73.65,23.12,74.26,73.66,23.2
23.22,73.62,23.13,74.26,73.63,23.22
23.19,73.53,23.13,74.25,73.55,23.2
23.19,73.52,23.13,74.24,73.53,23.19

23.29,73.54,23.13,74.24,73.54,23.2723.25,73.55,23.14,74.24,73.55,23.25
23.25,73.59,23.14,74.24,73.58,23.25
23.22,73.67,23.14,74.25,73.65,23.22
23.26,73.6,23.13,74.25,73.61,23.25
23.46,73.33,23.14,74.25,73.38,23.42
23.32,73.46,23.15,74.23,73.45,23.34
23.35,73.52,23.14,74.23,73.5,23.35
23.32,73.54,23.15,74.24,73.53,23.32

23.39,73.54,23.14,74.24,73.54,23.3723.29,73.77,23.15,74.24,73.72,23.31
23.25,73.63,23.14,74.26,73.65,23.26
23.27,73.57,23.14,74.26,73.59,23.27
23.21,73.57,23.14,74.25,73.58,23.22
23.21,73.53,23.13,74.25,73.54,23.21
23.23,73.46,23.13,74.24,73.48,23.23
23.37,73.61,23.13,74.24,73.59,23.34
23.16,73.51,23.14,74.25,73.52,23.2
23.21,73.57,23.13,74.24,73.56,23.2
23.23,73.47,23.13,74.25,73.49,23.23
23.23,73.48,23.13,74.24,73.48,23.23
23.19,73.41,23.13,74.24,73.42,23.2
23.29,73.38,23.13,74.23,73.39,23.27
23.32,73.39,23.14,74.23,73.39,23.31
23.19,73.23,23.14,74.23,73.26,23.22
23.23,73.31,23.13,74.22,73.3,23.23
